TIMESTAMP: 5.100000, X: 1.704456, Y: 18.158310, Z: -7.618733, PITCH: -0.161813, YAW: -0.583188
TIMESTAMP: 5.200000, X: 1.714412, Y: 18.086999, Z: -7.542396, PITCH: -0.163240, YAW: -0.588177
TIMESTAMP: 5.300000, X: 1.721934, Y: 18.010093, Z: -7.468463, PITCH: -0.164670, YAW: -0.593043
TIMESTAMP: 5.400000, X: 1.726955, Y: 17.927534, Z: -7.397163, PITCH: -0.166089, YAW: -0.598441
TIMESTAMP: 5.500000, X: 1.729424, Y: 17.839288, Z: -7.328711, PITCH: -0.167502, YAW: -0.604074
TIMESTAMP: 5.600000, X: 1.729303, Y: 17.745343, Z: -7.263307, PITCH: -0.168937, YAW: -0.608705
TIMESTAMP: 5.700000, X: 1.726573, Y: 17.645711, Z: -7.201132, PITCH: -0.170383, YAW: -0.612876
TIMESTAMP: 5.800000, X: 1.721226, Y: 17.540427, Z: -7.142351, PITCH: -0.171786, YAW: -0.618969
TIMESTAMP: 5.900000, X: 1.713273, Y: 17.429550, Z: -7.087110, PITCH: -0.173166, YAW: -0.626112
TIMESTAMP: 6.000000, X: 1.702738, Y: 17.313162, Z: -7.035531, PITCH: -0.174634, YAW: -0.629233
TIMESTAMP: 6.100000, X: 1.689662, Y: 17.191369, Z: -6.987719, PITCH: -0.176199, YAW: -0.627954
TIMESTAMP: 6.200000, X: 1.674100, Y: 17.064301, Z: -6.943755, PITCH: -0.177643, YAW: -0.632203
TIMESTAMP: 6.300000, X: 1.656120, Y: 16.932111, Z: -6.903698, PITCH: -0.178725, YAW: -0.652944
TIMESTAMP: 6.400000, X: 1.635804, Y: 16.794973, Z: -6.867585, PITCH: -0.179472, YAW: -0.689030
TIMESTAMP: 6.500000, X: 1.613248, Y: 16.653083, Z: -6.835428, PITCH: -0.180140, YAW: -0.728659
TIMESTAMP: 6.600000, X: 1.588558, Y: 16.506658, Z: -6.807218, PITCH: -0.180901, YAW: -0.764090
TIMESTAMP: 6.700000, X: 1.561849, Y: 16.355933, Z: -6.782920, PITCH: -0.181703, YAW: -0.797646
TIMESTAMP: 6.800000, X: 1.533246, Y: 16.201162, Z: -6.762479, PITCH: -0.182464, YAW: -0.833093
TIMESTAMP: 6.900000, X: 1.502881, Y: 16.042614, Z: -6.745814, PITCH: -0.183202, YAW: -0.869520
TIMESTAMP: 7.000000, X: 1.470891, Y: 15.880573, Z: -6.732825, PITCH: -0.183962, YAW: -0.904988
TIMESTAMP: 7.100000, X: 1.437417, Y: 15.715336, Z: -6.723387, PITCH: -0.184734, YAW: -0.939947
TIMESTAMP: 7.200000, X: 1.402601, Y: 15.547209, Z: -6.717355, PITCH: -0.185495, YAW: -0.975403
TIMESTAMP: 7.300000, X: 1.366586, Y: 15.376511, Z: -6.714565, PITCH: -0.186248, YAW: -1.011118
TIMESTAMP: 7.400000, X: 1.329513, Y: 15.203564, Z: -6.714831, PITCH: -0.187008, YAW: -1.046576
TIMESTAMP: 7.500000, X: 1.291520, Y: 15.028697, Z: -6.717952, PITCH: -0.187772, YAW: -1.081914
TIMESTAMP: 7.600000, X: 1.252740, Y: 14.852242, Z: -6.723707, PITCH: -0.188533, YAW: -1.117380
TIMESTAMP: 7.700000, X: 1.213298, Y: 14.674531, Z: -6.731858, PITCH: -0.189290, YAW: -1.152879
TIMESTAMP: 7.800000, X: 1.173312, Y: 14.495896, Z: -6.742156, PITCH: -0.190050, YAW: -1.188325
TIMESTAMP: 7.900000, X: 1.132890, Y: 14.316666, Z: -6.754335, PITCH: -0.190813, YAW: -1.223807
TIMESTAMP: 8.000000, X: 1.092127, Y: 14.137164, Z: -6.768117, PITCH: -0.191573, YAW: -1.259295
TIMESTAMP: 8.100000, X: 1.051106, Y: 13.957707, Z: -6.783217, PITCH: -0.192331, YAW: -1.294657
TIMESTAMP: 8.200000, X: 1.009899, Y: 13.778604, Z: -6.799336, PITCH: -0.193089, YAW: -1.330054
TIMESTAMP: 8.300000, X: 0.968561, Y: 13.600154, Z: -6.816170, PITCH: -0.193855, YAW: -1.365758
TIMESTAMP: 8.400000, X: 0.927133, Y: 13.422643, Z: -6.833409, PITCH: -0.194621, YAW: -1.401450
TIMESTAMP: 8.500000, X: 0.885639, Y: 13.246346, Z: -6.850740, PITCH: -0.195368, YAW: -1.436334
TIMESTAMP: 8.600000, X: 0.844089, Y: 13.071523, Z: -6.867844, PITCH: -0.196093, YAW: -1.470168
TIMESTAMP: 8.700000, X: 0.802478, Y: 12.898419, Z: -6.884405, PITCH: -0.196811, YAW: -1.503615
TIMESTAMP: 8.800000, X: 0.760784, Y: 12.727265, Z: -6.900106, PITCH: -0.197533, YAW: -1.537304
TIMESTAMP: 8.900000, X: 0.718972, Y: 12.558272, Z: -6.914632, PITCH: -0.198259, YAW: -1.571162
TIMESTAMP: 9.000000, X: 0.676994, Y: 12.391638, Z: -6.927674, PITCH: -0.198982, YAW: -1.604916
